â∑ìx [K],L,t,d,ñ êœS,åvéZÇµÇΩQ_h,L_net(ê›åvèåèÇ∆Ç»ÇÈ),D_p,S_p,delta_p,d_k,âÒì]êî,L_h,L_k,L_s,L_pe,L_pc,X_R,X,P_max,phi,L_net
484,50,50,2,0.0477,181.5995059,2.416324004,18,14.8,2.8,4.9,1989.430823,21.96940838,99.85839234,44.4,73.86940838,44.4,0.490006673,2.490006673,160.0917972,56.28262276,1.204774718
485,50,50,2,0.0477,179.6371477,2.400100448,18,14.8,2.8,4.9,1976.073491,21.96940838,99.85839234,44.4,73.86940838,44.4,0.490006673,2.490006673,160.1089724,56.33720319,1.202991899
486,50,50,2,0.0477,177.6732514,2.383599998,18,14.8,2.8,4.9,1962.488183,21.96940838,99.85839234,44.4,73.86940838,44.4,0.490006673,2.490006673,160.1262012,56.39162792,1.200974402
487,50,50,2,0.0477,175.7078085,2.366823868,18,14.8,2.7,4.9,1948.6759,23.03577446,99.85839234,44.4,74.93577446,44.4,0.474324324,2.474324324,160.3028789,56.44589752,1.204192263
488,50,50,2,0.0477,173.7408108,2.349773261,18,14.8,2.7,4.9,1934.637633,23.03577446,99.85839234,44.4,74.93577446,44.4,0.474324324,2.474324324,160.3202963,56.50001256,1.201689577
489,50,50,2,0.0477,171.7722501,2.332449368,18,14.8,2.6,4.9,1920.374361,24.18419389,99.85839234,44.4,76.08419389,44.4,0.458775442,2.458775442,160.497607,56.5539736,1.204397196
490,50,50,2,0.0477,169.8021182,2.314853366,18,14.8,2.6,4.9,1905.887054,24.18419389,99.85839234,44.4,76.08419389,44.4,0.458775442,2.458775442,160.5152126,56.6077812,1.2013998
491,50,50,2,0.0477,167.8304068,2.296986423,18,14.8,2.5,4.9,1891.176673,25.424536,99.85839234,44.4,77.324536,44.4,0.443360027,2.443360027,160.6931405,56.66143591,1.203582657
492,50,50,2,0.0477,165.8571077,2.278849692,18,14.8,2.5,4.9,1876.244167,25.424536,99.85839234,44.4,77.324536,44.4,0.443360027,2.443360027,160.7109338,56.71493831,1.20008105
493,50,50,2,0.0477,163.8822128,2.260444314,18,14.8,2.4,4.9,1861.090476,26.76831545,99.85839234,44.4,78.66831545,44.4,0.428078078,2.428078078,160.8894625,56.76828893,1.201724596
494,50,50,2,0.0477,161.9057137,2.24177142,18,14.8,2.3,4.9,1845.716532,28.22904997,99.85839234,44.4,80.12904997,44.4,0.412929596,2.412929596,161.0684396,56.82148834,1.203084499
495,50,50,2,0.0477,159.9276023,2.222832129,18,14.8,2.2,4.9,1830.123255,29.82271558,99.85839234,44.4,81.72271558,44.4,0.397914581,2.397914581,161.2478475,56.87453708,1.20415551
496,50,50,2,0.0477,157.9478704,2.203627547,18,14.8,2.1,4.9,1814.311557,31.56833194,99.85839234,44.4,83.46833194,44.4,0.383033033,2.383033033,161.4276684,56.92743571,1.204932363
497,50,50,2,0.0477,155.9665099,2.184158771,18,14.8,2.1,4.9,1798.282338,31.56833194,99.85839234,44.4,83.46833194,44.4,0.383033033,2.383033033,161.4460566,56.98018477,1.200095834
498,50,50,2,0.0477,153.9835125,2.164426883,18,14.8,2,4.9,1782.036493,33.48872326,99.85839234,44.4,85.38872326,44.4,0.368284952,2.368284952,161.6264079,57.0327848,1.200292509
499,50,50,2,0.0477,151.9988701,2.144432957,18,14.8,1.9,4.9,1765.574904,35.61151951,99.85839234,44.4,87.51151951,44.4,0.353670337,2.353670337,161.8071349,57.08523634,1.200180957
500,50,50,2,0.0477,150.0125745,2.124178055,18,14.8,1.7,4.9,1748.898446,40.60735637,99.85839234,44.4,92.50735637,44.4,0.324841508,2.324841508,162.1507038,57.13753995,1.204992501
501,50,50,2,0.0477,148.0246176,2.103663228,18,14.8,1.6,4.9,1732.007984,43.57426224,99.85839234,44.4,95.47426224,44.4,0.310627294,2.310627294,162.3323023,57.18969614,1.204219212
502,50,50,2,0.0477,146.0349911,2.082889515,18,14.8,1.5,4.9,1714.904373,46.93726376,99.85839234,44.4,98.83726376,44.4,0.296546547,2.296546547,162.5141956,57.24170547,1.20311997
503,50,50,2,0.0477,144.043687,2.061857946,18,14.8,1.4,4.9,1697.588462,50.78128948,99.85839234,44.4,102.6812895,44.4,0.282599266,2.282599266,162.6963624,57.29356847,1.20168946
